articleLink,externalLink,rel,dateOfPost
https://officechai.com/,https://plus.sandbox.google.com/u/0/100150877821907125997/posts/p/pub,nofollow,30-4-2020
https://officechai.com/stories/bitcoin-trading-scam-affiliate-marketing-scam/,https://www.youtube.com/watch?v=p48-uI1LaAg&feature=youtu.be&fbclid=IwAR1BorZTEb0bSrcR9CcPkDvIo2x6JMrkONfFGIvXHtCBX6ok8s1bJ25UqZU,nofollow,30-4-2020
https://officechai.com/stories/bitcoin-trading-scam-affiliate-marketing-scam/,https://plus.sandbox.google.com/u/0/100150877821907125997/posts/p/pub,nofollow,30-4-2020
https://officechai.com/stories/pm-modis-focus-self-reliance-prompts-list-made-india-alternatives-foreign-products/,https://plus.sandbox.google.com/u/0/100150877821907125997/posts/p/pub,nofollow,30-4-2020
https://startuptalky.com/cafe-coffee-day-case-study/,#ccdcasestudy_HistoryofCCD,nofollow,31-4-2020
https://startuptalky.com/cafe-coffee-day-case-study/,#ccdcasestudy_HowCCDStartedtheJourney?,nofollow,31-4-2020
https://startuptalky.com/cafe-coffee-day-case-study/,#ccdcasestudy_MarketingandBusinessStrategyofCCD,nofollow,31-4-2020
https://startuptalky.com/cafe-coffee-day-case-study/,#ccdcasestudy_TheUltimateGrowthofCCD,nofollow,31-4-2020
https://startuptalky.com/cafe-coffee-day-case-study/,#ccdcasestudy_AchievementsofCCD,nofollow,31-4-2020
https://startuptalky.com/cafe-coffee-day-case-study/,https://twitter.com/VarradKitey,nofollow,31-4-2020
https://startuptalky.com/cafe-coffee-day-case-study/,https://www.facebook.com/varrad.kitey.5,nofollow,31-4-2020
https://startuptalky.com/cafe-coffee-day-case-study/,https://www.facebook.com/plugins/group/join/popup/?group_id=1628088717410164&source=email_campaign_plugin,nofollow,31-4-2020
https://startuptalky.com/cafe-coffee-day-case-study/,#,nofollow,31-4-2020
https://startuptalky.com/cafe-coffee-day-case-study/,#,nofollow,31-4-2020
https://startuptalky.com/cafe-coffee-day-case-study/,#,nofollow,31-4-2020
https://startuptalky.com/cafe-coffee-day-case-study/,#,nofollow,31-4-2020
https://startuptalky.com/cafe-coffee-day-case-study/,#,nofollow,31-4-2020
https://startuptalky.com/cafe-coffee-day-case-study/,#,nofollow,31-4-2020
https://startuptalky.com/cafe-coffee-day-case-study/,#,nofollow,31-4-2020
https://startuptalky.com/cafe-coffee-day-case-study/,#,nofollow,31-4-2020
https://startuptalky.com/cafe-coffee-day-case-study/,#,nofollow,31-4-2020
