articleLink,externalLink,rel,dateOfPost
https://yourstory.com/2020/06/funding-alert-road-transport-marketplace-startup-vahak-leo-capital,https://docs.google.com/forms/d/e/1FAIpQLSexu3FXIRCPs2qznUdbupoR21MOR0iMibGmuF3f_INm5A6u_w/viewform?usp=sf_link,nofollow,2-5-2020
https://yourstory.com/2020/06/funding-alert-road-transport-marketplace-startup-vahak-leo-capital,https://in.makers.yahoo.com/?ncid=other_inmakersyo_kymwypby5fw,nofollow,2-5-2020
https://yourstory.com/2020/06/agritech-crofarm-b2b2c-otipy-funding,https://docs.google.com/forms/d/e/1FAIpQLSexu3FXIRCPs2qznUdbupoR21MOR0iMibGmuF3f_INm5A6u_w/viewform?usp=sf_link,nofollow,2-5-2020
https://yourstory.com/2020/06/agritech-crofarm-b2b2c-otipy-funding,https://in.makers.yahoo.com/?ncid=other_inmakersyo_kymwypby5fw,nofollow,2-5-2020
https://yourstory.com/2020/06/legal-startup-funding-credgenics-titan-capital-seed-round,https://docs.google.com/forms/d/e/1FAIpQLSexu3FXIRCPs2qznUdbupoR21MOR0iMibGmuF3f_INm5A6u_w/viewform?usp=sf_link,nofollow,2-5-2020
https://yourstory.com/2020/06/legal-startup-funding-credgenics-titan-capital-seed-round,https://in.makers.yahoo.com/?ncid=other_inmakersyo_kymwypby5fw,nofollow,2-5-2020
https://yourstory.com/2020/06/funding-childrens-snack-brand-timios-mysuru-rangsons,https://docs.google.com/forms/d/e/1FAIpQLSexu3FXIRCPs2qznUdbupoR21MOR0iMibGmuF3f_INm5A6u_w/viewform?usp=sf_link,nofollow,2-5-2020
https://yourstory.com/2020/06/funding-childrens-snack-brand-timios-mysuru-rangsons,https://in.makers.yahoo.com/?ncid=other_inmakersyo_kymwypby5fw,nofollow,2-5-2020
https://yourstory.com/2020/06/modes-closing-business-series-two-striking-off-company-name-roc,https://docs.google.com/forms/d/e/1FAIpQLSexu3FXIRCPs2qznUdbupoR21MOR0iMibGmuF3f_INm5A6u_w/viewform?usp=sf_link,nofollow,2-5-2020
https://yourstory.com/2020/06/modes-closing-business-series-two-striking-off-company-name-roc,https://in.makers.yahoo.com/?ncid=other_inmakersyo_kymwypby5fw,nofollow,2-5-2020
https://yourstory.com/2020/06/modes-closing-business-series-two-striking-off-company-name-roc,https://www.novojuris.com/,nofollow,2-5-2020
