articleLink,externalLink,rel,dateOfPost
https://startuptalky.com/,https://www.instagram.com/startup_talky/,,22-5-2020
https://startuptalky.com/,https://www.linkedin.com/company/14405761,,22-5-2020
https://startuptalky.com/editorial-opportunities/,https://www.instagram.com/startup_talky/,,14-2-2020
https://startuptalky.com/editorial-opportunities/,https://www.linkedin.com/company/14405761,,14-2-2020
https://startuptalky.com/contact-us/,https://www.instagram.com/startup_talky/,,25-1-2020
https://startuptalky.com/contact-us/,https://www.linkedin.com/company/14405761,,25-1-2020
https://startuptalky.com/startuptalky-contributor/,https://www.instagram.com/startup_talky/,,12-0-2020
https://startuptalky.com/startuptalky-contributor/,https://www.linkedin.com/company/14405761,,12-0-2020
https://startuptalky.com/privacy-policy/,https://www.instagram.com/startup_talky/,,10-0-2020
https://startuptalky.com/privacy-policy/,https://www.linkedin.com/company/14405761,,10-0-2020
https://startuptalky.com/about-us/,https://docs.google.com/forms/d/e/1FAIpQLScWwv_A1ekTB3emy4pITsae3E09YKNObiCE_0aD64lJ1bwuyw/viewform,,10-0-2020
https://startuptalky.com/about-us/,https://www.instagram.com/startup_talky/,,10-0-2020
https://startuptalky.com/about-us/,https://www.linkedin.com/company/14405761,,10-0-2020
https://startuptalky.com/startup-founders-interview/,https://www.instagram.com/startup_talky/,,14-10-2019
https://startuptalky.com/startup-founders-interview/,https://www.linkedin.com/company/14405761,,14-10-2019
https://startuptalky.com/copyright/,https://www.instagram.com/startup_talky/,,12-9-2019
https://startuptalky.com/copyright/,https://www.linkedin.com/company/14405761,,12-9-2019
https://startuptalky.com/,https://www.instagram.com/startup_talky/,,22-5-2020
https://startuptalky.com/,https://www.linkedin.com/company/14405761,,22-5-2020
https://startuptalky.com/editorial-opportunities/,https://www.instagram.com/startup_talky/,,14-2-2020
https://startuptalky.com/editorial-opportunities/,https://www.linkedin.com/company/14405761,,14-2-2020
https://startuptalky.com/uber-mumbai-office-shuts-down/,https://www.facebook.com/iamyrs.619,,4-6-2020
